Date  ,Time,HumidityHive,TemperatureHive,WatervapourdenHive,TemperatureOutside,Barometer,HumidyOutside,Rain,WindSpeed,WindDir
4/13/2013,8:40:00,81.45,9.16,7.247,6.888890,1020.93,85,0.20,3.22,225
4/13/2013,8:50:00,81.83,8.76,7.097,7.000000,1021.10,85,0.00,0.00,225
4/13/2013,9:00:00,81.06,8.70,7.003,7.111110,1021.07,84,0.00,0.00,-1
4/13/2013,9:10:00,80.73,8.76,7.002,7.222220,1021.10,85,0.00,3.22,157
4/13/2013,9:20:00,79.53,8.86,6.942,7.277780,1021.20,84,0.00,1.61,90
4/13/2013,9:30:00,78.51,9.07,6.946,7.500000,1021.24,84,0.00,0.00,90
4/13/2013,9:40:00,79.23,9.17,7.054,7.611110,1021.24,84,0.00,0.00,90
4/13/2013,9:50:00,79.31,9.31,7.125,7.888890,1021.34,84,0.00,1.61,157
4/13/2013,10:00:00,78.62,9.42,7.113,8.111110,1021.54,83,0.00,3.22,135
4/13/2013,10:10:00,75.16,10.55,7.305,8.500000,1021.41,83,0.00,0.00,180
4/13/2013,10:20:00,70.96,12.74,7.911,8.722220,1021.64,78,0.00,6.44,202
4/13/2013,10:30:00,69.40,13.29,8.005,8.833330,1021.81,77,0.00,4.83,202
4/13/2013,10:40:00,73.52,11.96,7.808,8.777780,1022.08,75,0.00,8.05,202
4/13/2013,10:50:00,73.70,12.20,7.945,8.833330,1022.15,76,0.00,4.83,202
4/13/2013,11:00:00,100.00,10.14,9.471,9.055560,1022.35,76,0.00,3.22,202
4/13/2013,11:10:00,79.99,22.38,15.858,9.277780,1022.46,75,0.00,1.61,180
4/13/2013,11:20:00,59.75,24.23,13.163,10.055600,1022.52,75,0.00,0.00,225
4/13/2013,11:30:00,62.56,25.09,14.468,9.944450,1022.62,70,0.00,1.61,225
4/13/2013,11:40:00,57.29,25.31,13.414,9.722220,1022.69,70,0.00,0.00,270
4/13/2013,11:50:00,57.34,25.69,13.714,9.833330,1022.79,72,0.00,3.22,202
4/13/2013,12:00:00,57.04,25.83,13.750,10.222200,1022.93,72,0.00,1.61,225
4/13/2013,12:10:00,57.04,25.89,13.796,10.222200,1022.96,69,0.00,0.00,180
